strategy,period,trades,start_equity,end_equity,net_profit,return,profit_factor,win_rate,max_drawdown
Lightglow V2 Non-Kill Zone,2015,4,25000.0,25615.0,615.0,0.0246,999.0,1.0,0.0
Lightglow V2 Non-Kill Zone,2016,33,25615.0,23645.0,-1970.0,-0.0788,0.515970515970516,0.48484848484848486,2505.0
Lightglow V2 Non-Kill Zone,2017,26,23645.0,22290.0,-1355.0,-0.0542,0.0,0.0,1355.0
Lightglow V2 Non-Kill Zone,2018,454,22290.0,3230.0,-19060.0,-0.7624,0.46355192794821276,0.30837004405286345,19170.0
Lightglow V2 Non-Kill Zone,2019,270,3230.0,-1005.0,-4235.0,-0.1694,0.6583299717628076,0.22592592592592592,4390.0
Lightglow V2 Non-Kill Zone,2020,2388,-1005.0,-79595.0,-78590.0,-3.1436,0.6940058792610041,0.45268006700167507,79185.0
Lightglow V2 Non-Kill Zone,2021,1382,-79595.0,-112740.0,-33145.0,-1.3258,0.7534129375441729,0.4558610709117221,33365.0
Lightglow V2 Non-Kill Zone,2022,4055,-112740.0,-218670.0,-105930.0,-4.2372,0.7338542517241813,0.44512946979038226,106100.0
Lightglow V2 Non-Kill Zone,2023,1881,-218670.0,-269620.0,-50950.0,-2.038,0.5789430188835172,0.3471557682083998,54060.0
Lightglow V2 Non-Kill Zone,2024,3392,-269620.0,-386035.0,-116415.0,-4.6566,0.593622368834433,0.3623231132075472,117670.0
Lightglow V2 Non-Kill Zone,2025,4533,-386035.0,-539745.0,-153710.0,-6.1484,0.7092240172524686,0.4297374806971101,157865.0
Lightglow V2 Non-Kill Zone,2026,2349,-539745.0,-593515.0,-53770.0,-2.1508,0.7829316539501837,0.46317581949765857,54830.0
Premium/Discount Long 1m,2010,5379,25000.0,-136695.0,-161695.0,-6.4678,0.01474575754806081,0.02788622420524261,161695.0
Premium/Discount Long 1m,2011,10251,-136695.0,-450280.0,-313585.0,-12.5434,0.028742663342263795,0.044190810652619254,313585.0
Premium/Discount Long 1m,2012,9823,-450280.0,-743095.0,-292815.0,-11.7126,0.01804188534348329,0.029217143438867964,292815.0
Premium/Discount Long 1m,2013,9709,-743095.0,-1036945.0,-293850.0,-11.754,0.012219103484209288,0.024204346482644967,293850.0
Premium/Discount Long 1m,2014,8577,-1036945.0,-1295655.0,-258710.0,-10.3484,0.05357502149219879,0.06727293925615017,258710.0
Premium/Discount Long 1m,2015,9066,-1295655.0,-1570355.0,-274700.0,-10.988,0.08988503462213829,0.09750716964482682,274725.0
Premium/Discount Long 1m,2016,10050,-1570355.0,-1869380.0,-299025.0,-11.961,0.08478077894253577,0.08925373134328358,299025.0
Premium/Discount Long 1m,2017,7683,-1869380.0,-2103370.0,-233990.0,-9.3596,0.06812162727254625,0.07249772224391514,234015.0
Premium/Discount Long 1m,2018,9170,-2103370.0,-2391840.0,-288470.0,-11.5388,0.263618726706489,0.20621592148309706,288980.0
Premium/Discount Long 1m,2019,7885,-2391840.0,-2631170.0,-239330.0,-9.5732,0.19179400590966653,0.1833861762840837,239370.0
Premium/Discount Long 1m,2020,7673,-2631170.0,-2878820.0,-247650.0,-9.906,0.5192475685749228,0.35527173204743906,247650.0
Premium/Discount Long 1m,2021,7400,-2878820.0,-3092655.0,-213835.0,-8.5534,0.5226151407586007,0.3505405405405405,213970.0
Premium/Discount Long 1m,2022,10688,-3092655.0,-3427150.0,-334495.0,-13.3798,0.5534767924603863,0.37958458083832336,334745.0
Premium/Discount Long 1m,2023,9890,-3427150.0,-3709685.0,-282535.0,-11.3014,0.4216451900146362,0.2994944388270981,283175.0
Premium/Discount Long 1m,2024,8377,-3709685.0,-3984980.0,-275295.0,-11.0118,0.5036644400573329,0.3375910230392742,276945.0
Premium/Discount Long 1m,2025,8495,-3984980.0,-4251620.0,-266640.0,-10.6656,0.6161216248317365,0.3828134196586227,266845.0
Premium/Discount Long 1m,2026,3110,-4251620.0,-4337170.0,-85550.0,-3.422,0.6696145825287712,0.4067524115755627,86520.0
